,id,imdb_rating,imdb_votes,number_in_season,number_in_series,original_air_date,original_air_year,production_code,season,title,us_viewers_in_millions,views,season_group
0,10,7.4,1511.0,10,10,1990-03-25,1990,7G10,1,Homer's Night Out,30.3,50816.0,1.0
1,12,8.3,1716.0,12,12,1990-04-29,1990,7G12,1,Krusty Gets Busted,30.4,62561.0,1.0
2,14,8.2,1638.0,1,14,1990-10-11,1990,7F03,2,"Bart Gets an ""F""",33.6,59575.0,1.0
3,17,8.1,1457.0,4,17,1990-11-01,1990,7F01,2,Two Cars in Every Garage and Three Eyes on Every Fish,26.1,64959.0,1.0
4,19,8.0,1366.0,6,19,1990-11-15,1990,7F08,2,Dead Putting Society,25.4,50691.0,1.0
5,21,8.4,1522.0,8,21,1990-12-06,1990,7F06,2,Bart the Daredevil,26.2,57605.0,1.0
6,23,7.8,1340.0,10,23,1991-01-10,1991,7F10,2,Bart Gets Hit by a Car,24.8,56486.0,1.0
7,26,8.0,1329.0,13,26,1991-02-07,1991,7F13,2,Homer vs. Lisa and the 8th Commandment,26.2,58277.0,1.0
8,28,8.2,1413.0,15,28,1991-02-21,1991,7F16,2,"Oh Brother, Where Art Thou?",26.8,47426.0,1.0
9,30,7.6,1243.0,17,30,1991-03-28,1991,7F17,2,Old Money,21.2,44331.0,1.0
10,32,8.5,1684.0,19,32,1991-04-25,1991,7F19,2,Lisa's Substitute,17.7,52770.0,1.0
11,35,8.0,1223.0,22,35,1991-07-11,1991,7F22,2,Blood Feud,17.3,52829.0,1.0
12,37,7.7,1274.0,2,37,1991-09-26,1991,8F01,3,Mr. Lisa Goes to Washington,20.2,52098.0,1.0
13,39,8.7,1446.0,4,39,1991-10-10,1991,8F03,3,Bart the Murderer,20.8,64342.0,1.0
14,41,7.7,1262.0,6,41,1991-10-24,1991,8F05,3,"Like Father, Like Clown",20.2,45586.0,1.0
15,44,7.9,1194.0,9,44,1991-11-14,1991,8F07,3,Saturdays of Thunder,24.7,55808.0,1.0
16,46,8.2,1291.0,11,46,1991-12-05,1991,8F09,3,Burns Verkaufen der Kraftwerk,21.1,55987.0,1.0
17,48,8.5,1365.0,13,48,1992-01-09,1992,8F11,3,Radio Bart,24.2,58919.0,1.0
18,51,8.3,1272.0,16,51,1992-02-13,1992,8F16,3,Bart the Lover,20.5,53123.0,1.0
19,53,8.2,1201.0,18,53,1992-02-27,1992,8F15,3,Separate Vocations,23.7,61508.0,1.0
20,55,7.9,1233.0,20,55,1992-03-26,1992,8F19,3,Colonel Homer,25.5,46901.0,1.0
21,58,7.8,1160.0,23,58,1992-05-07,1992,8F22,3,Bart's Friend Falls in Love,19.5,48058.0,1.0
22,60,8.4,1414.0,1,60,1992-09-24,1992,8F24,4,Kamp Krusty,21.8,67081.0,1.0
23,65,8.2,1293.0,6,65,1992-11-03,1992,9F03,4,Itchy & Scratchy: The Movie,20.1,55740.0,1.0
24,69,8.5,1350.0,10,69,1992-12-03,1992,9F08,4,Lisa's First Word,28.6,62070.0,1.0
25,72,8.0,1153.0,13,72,1993-01-21,1993,9F11,4,Selma's Choice,24.5,56396.0,1.0
26,7,7.9,1638.0,7,7,1990-02-18,1990,7G09,1,The Call of the Simpsons,27.6,57793.0,1.0
27,24,8.8,1687.0,11,24,1991-01-24,1991,7F12,2,"One Fish, Two Fish, Blowfish, Blue Fish",24.2,50206.0,1.0
28,80,7.7,1080.0,21,80,1993-05-06,1993,9F20,4,Marge in Chains,17.3,68692.0,1.0
29,82,8.4,1416.0,1,82,1993-09-30,1993,9F21,5,Homer's Barbershop Quartet,19.9,58390.0,1.0
30,84,8.6,1476.0,3,84,1993-10-14,1993,1F02,5,Homer Goes to College,18.1,64802.0,1.0
31,87,8.0,1132.0,6,87,1993-11-04,1993,1F03,5,Marge on the Lam,21.7,53490.0,1.0
32,89,8.7,1270.0,8,89,1993-11-18,1993,1F06,5,Boy-Scoutz 'n the Hood,20.1,83238.0,1.0
33,92,8.2,1202.0,11,92,1994-01-06,1994,1F09,5,Homer the Vigilante,20.1,74673.0,1.0
34,93,8.1,1123.0,12,93,1994-02-03,1994,1F11,5,Bart Gets Famous,20.0,66267.0,1.0
35,95,8.2,1187.0,14,95,1994-02-17,1994,1F12,5,Lisa vs. Malibu Stacy,20.5,61715.0,1.0
36,98,7.9,1116.0,17,98,1994-03-31,1994,1F15,5,Bart Gets an Elephant,17.0,63427.0,1.0
37,102,7.5,1014.0,21,102,1994-05-12,1994,1F21,5,Lady Bouvier's Lover,15.1,59503.0,1.0
38,104,8.6,1330.0,1,104,1994-09-04,1994,1F22,6,Bart of Darkness,15.1,65126.0,1.0
39,107,8.5,1277.0,4,107,1994-10-02,1994,2F01,6,Itchy & Scratchy Land,14.8,72722.0,1.0
40,111,8.4,1236.0,8,111,1994-11-13,1994,2F05,6,Lisa on Ice,17.9,63564.0,1.0
41,114,7.8,1100.0,11,114,1994-12-18,1994,2F08,6,Fear of Flying,15.6,61569.0,1.0
42,116,8.5,1284.0,13,116,1995-01-22,1995,2F10,6,And Maggie Makes Three,17.3,63051.0,1.0
43,118,8.5,1254.0,15,118,1995-02-12,1995,2F12,6,Homie the Clown,17.6,73123.0,1.0
44,120,7.9,1006.0,17,120,1995-02-26,1995,2F14,6,Homer vs. Patty and Selma,18.9,60599.0,1.0
45,123,8.1,1051.0,20,123,1995-04-09,1995,2F18,6,Two Dozen and One Greyhounds,11.6,62323.0,1.0
46,125,8.3,1084.0,22,125,1995-04-30,1995,2F32,6,'Round Springfield,12.6,56001.0,1.0
47,127,8.6,1285.0,24,127,1995-05-14,1995,2F22,6,Lemon of Troy,13.1,70698.0,1.0
48,130,8.3,1172.0,2,130,1995-09-24,1995,2F17,7,Radioactive Man,15.7,62390.0,1.0
49,132,8.7,1354.0,4,132,1995-10-08,1995,3F02,7,Bart Sells His Soul,14.8,65333.0,1.0
50,134,8.5,1304.0,6,134,1995-10-29,1995,3F04,7,Treehouse of Horror VI,19.7,110342.0,1.0
51,139,8.3,1146.0,11,139,1995-12-17,1995,3F07,7,Marge Be Not Proud,16.7,68970.0,1.0
52,140,8.3,1064.0,12,140,1996-01-07,1996,3F10,7,Team Homer,16.7,72268.0,1.0
53,143,7.7,954.0,15,143,1996-02-11,1996,3F12,7,Bart the Fink,15.0,71230.0,1.0
54,67,8.2,1240.0,8,67,1992-11-12,1992,9F06,4,New Kid on the Block,23.1,54557.0,1.0
55,149,8.8,1393.0,21,149,1996-04-14,1996,3F18,7,22 Short Films About Springfield,10.5,66536.0,1.0
56,151,8.0,995.0,23,151,1996-05-05,1996,3F20,7,Much Apu About Nothing,11.3,75618.0,1.0
57,153,8.3,1119.0,25,153,1996-05-19,1996,3F22,7,Summer of 4 Ft. 2,14.7,65847.0,1.0
58,157,7.7,1079.0,4,157,1996-11-17,1996,4F05,8,"Burns, Baby Burns",12.6,55497.0,1.0
59,160,7.8,1005.0,7,160,1996-12-15,1996,4F01,8,Lisa's Date with Density,14.35,60912.0,1.0
60,163,9.0,1793.0,10,163,1997-01-12,1997,3G01,8,The Springfield Files,20.9,69555.0,1.0
61,164,7.8,998.0,11,164,1997-01-19,1997,4F08,8,The Twisted World of Marge Simpson,14.0,71813.0,1.0
62,167,7.9,1079.0,14,167,1997-02-09,1997,4F12,8,The Itchy & Scratchy & Poochie Show,15.5,58581.0,1.0
63,168,8.9,1666.0,15,168,1997-02-16,1997,4F11,8,Homer's Phobia,15.3,63355.0,1.0
64,171,8.7,1330.0,18,171,1997-03-16,1997,4F15,8,Homer vs. the Eighteenth Amendment,14.6,83561.0,1.0
65,173,7.7,913.0,20,173,1997-04-13,1997,4F16,8,The Canine Mutiny,14.35,54155.0,1.0
66,175,8.0,973.0,22,175,1997-04-27,1997,4F18,8,In Marge We Trust,16.9,59088.0,1.0
67,178,7.8,967.0,25,178,1997-05-18,1997,4F21,8,The Secret War of Lisa Simpson,12.7,59196.0,1.0
68,180,7.4,1158.0,2,180,1997-09-28,1997,4F23,9,The Principal and the Pauper,14.9,48414.0,1.0
69,184,7.7,925.0,6,184,1997-11-09,1997,5F03,9,Bart Star,10.6,31033.0,1.0
70,186,8.0,978.0,8,186,1997-11-23,1997,5F05,9,Lisa the Skeptic,9.3,22318.0,1.0
71,189,5.1,1119.0,11,189,1998-01-04,1998,5F24,9,"All Singing, All Dancing",8.9,15780.0,1.0
72,191,8.2,1042.0,13,191,1998-02-08,1998,5F23,9,The Joy of Sect,9.4,27710.0,1.0
